code,quantity
FWC00,0
FWC01,0
FWC02,0
FWC03,0
FWC04,0
FWC05,0
FWC06,0
FWC07,0
FWC08,0
MEX1,0
MEX2,2
MEX3,1
MEX4,0
MEX5,0
MEX6,0
MEX7,1
MEX8,0
MEX9,0
MEX10,1
MEX11,1
MEX12,1
MEX13,0
MEX14,0
MEX15,0
MEX16,0
MEX17,0
MEX18,0
MEX19,0
MEX20,0
RSA1,1
RSA2,0
RSA3,0
RSA4,0
RSA5,1
RSA6,2
RSA7,1
RSA8,0
RSA9,2
RSA10,0
RSA11,1
RSA12,0
RSA13,0
RSA14,3
RSA15,0
RSA16,1
RSA17,0
RSA18,1
RSA19,1
RSA20,0
KOR1,0
KOR2,1
KOR3,1
KOR4,1
KOR5,0
KOR6,1
KOR7,1
KOR8,0
KOR9,0
KOR10,0
KOR11,0
KOR12,0
KOR13,0
KOR14,0
KOR15,0
KOR16,0
KOR17,0
KOR18,0
KOR19,1
KOR20,0
CZE1,0
CZE2,1
CZE3,1
CZE4,2
CZE5,0
CZE6,1
CZE7,0
CZE8,1
CZE9,0
CZE10,1
CZE11,1
CZE12,0
CZE13,0
CZE14,0
CZE15,0
CZE16,0
CZE17,1
CZE18,2
CZE19,1
CZE20,1
CAN1,0
CAN2,0
CAN3,0
CAN4,0
CAN5,0
CAN6,1
CAN7,0
CAN8,0
CAN9,0
CAN10,1
CAN11,0
CAN12,1
CAN13,0
CAN14,0
CAN15,1
CAN16,1
CAN17,0
CAN18,2
CAN19,2
CAN20,2
BIH1,0
BIH2,0
BIH3,0
BIH4,0
BIH5,0
BIH6,0
BIH7,0
BIH8,0
BIH9,1
BIH10,1
BIH11,1
BIH12,0
BIH13,1
BIH14,2
BIH15,1
BIH16,1
BIH17,1
BIH18,0
BIH19,1
BIH20,0
QAT1,0
QAT2,0
QAT3,0
QAT4,0
QAT5,1
QAT6,0
QAT7,0
QAT8,0
QAT9,1
QAT10,0
QAT11,1
QAT12,0
QAT13,1
QAT14,1
QAT15,0
QAT16,1
QAT17,0
QAT18,1
QAT19,0
QAT20,1
SUI1,1
SUI2,0
SUI3,0
SUI4,1
SUI5,0
SUI6,0
SUI7,0
SUI8,3
SUI9,1
SUI10,2
SUI11,1
SUI12,1
SUI13,0
SUI14,1
SUI15,1
SUI16,1
SUI17,0
SUI18,1
SUI19,0
SUI20,1
BRA1,1
BRA2,0
BRA3,0
BRA4,1
BRA5,0
BRA6,0
BRA7,0
BRA8,1
BRA9,1
BRA10,0
BRA11,0
BRA12,1
BRA13,0
BRA14,0
BRA15,0
BRA16,0
BRA17,0
BRA18,0
BRA19,1
BRA20,0
MAR1,1
MAR2,0
MAR3,0
MAR4,1
MAR5,1
MAR6,0
MAR7,0
MAR8,1
MAR9,1
MAR10,0
MAR11,1
MAR12,2
MAR13,0
MAR14,2
MAR15,0
MAR16,1
MAR17,1
MAR18,0
MAR19,2
MAR20,1
HAI1,0
HAI2,0
HAI3,1
HAI4,1
HAI5,1
HAI6,0
HAI7,0
HAI8,1
HAI9,1
HAI10,0
HAI11,0
HAI12,1
HAI13,0
HAI14,2
HAI15,0
HAI16,0
HAI17,1
HAI18,0
HAI19,0
HAI20,1
SCO1,0
SCO2,1
SCO3,1
SCO4,2
SCO5,0
SCO6,0
SCO7,0
SCO8,2
SCO9,0
SCO10,0
SCO11,0
SCO12,1
SCO13,0
SCO14,0
SCO15,0
SCO16,0
SCO17,0
SCO18,0
SCO19,1
SCO20,1
USA1,0
USA2,1
USA3,0
USA4,1
USA5,0
USA6,1
USA7,0
USA8,0
USA9,0
USA10,1
USA11,0
USA12,1
USA13,0
USA14,0
USA15,0
USA16,1
USA17,1
USA18,2
USA19,2
USA20,1
PAR1,0
PAR2,0
PAR3,0
PAR4,2
PAR5,1
PAR6,0
PAR7,0
PAR8,2
PAR9,1
PAR10,0
PAR11,0
PAR12,1
PAR13,1
PAR14,1
PAR15,0
PAR16,0
PAR17,2
PAR18,1
PAR19,0
PAR20,0
AUS1,0
AUS2,0
AUS3,1
AUS4,0
AUS5,0
AUS6,0
AUS7,1
AUS8,0
AUS9,1
AUS10,0
AUS11,0
AUS12,3
AUS13,1
AUS14,0
AUS15,0
AUS16,1
AUS17,0
AUS18,0
AUS19,0
AUS20,1
TUR1,0
TUR2,0
TUR3,0
TUR4,0
TUR5,0
TUR6,0
TUR7,0
TUR8,0
TUR9,0
TUR10,1
TUR11,1
TUR12,1
TUR13,0
TUR14,1
TUR15,0
TUR16,0
TUR17,1
TUR18,1
TUR19,2
TUR20,2
GER1,1
GER2,1
GER3,0
GER4,1
GER5,0
GER6,1
GER7,0
GER8,1
GER9,1
GER10,1
GER11,0
GER12,0
GER13,0
GER14,1
GER15,1
GER16,0
GER17,0
GER18,0
GER19,1
GER20,1
CUW1,1
CUW2,0
CUW3,0
CUW4,0
CUW5,1
CUW6,1
CUW7,0
CUW8,0
CUW9,0
CUW10,1
CUW11,0
CUW12,1
CUW13,0
CUW14,1
CUW15,1
CUW16,0
CUW17,0
CUW18,0
CUW19,1
CUW20,0
CIV1,0
CIV2,0
CIV3,0
CIV4,1
CIV5,1
CIV6,0
CIV7,1
CIV8,3
CIV9,1
CIV10,0
CIV11,1
CIV12,3
CIV13,0
CIV14,1
CIV15,0
CIV16,1
CIV17,0
CIV18,1
CIV19,1
CIV20,1
ECU1,0
ECU2,0
ECU3,1
ECU4,1
ECU5,0
ECU6,0
ECU7,0
ECU8,1
ECU9,2
ECU10,1
ECU11,1
ECU12,0
ECU13,0
ECU14,0
ECU15,2
ECU16,2
ECU17,1
ECU18,0
ECU19,2
ECU20,1
NED1,2
NED2,0
NED3,0
NED4,0
NED5,0
NED6,0
NED7,1
NED8,1
NED9,0
NED10,0
NED11,1
NED12,0
NED13,0
NED14,0
NED15,0
NED16,1
NED17,1
NED18,1
NED19,0
NED20,2
JPN1,0
JPN2,0
JPN3,1
JPN4,1
JPN5,0
JPN6,0
JPN7,0
JPN8,1
JPN9,1
JPN10,1
JPN11,1
JPN12,0
JPN13,0
JPN14,0
JPN15,1
JPN16,0
JPN17,1
JPN18,1
JPN19,1
JPN20,0
SWE1,0
SWE2,1
SWE3,0
SWE4,1
SWE5,0
SWE6,0
SWE7,1
SWE8,1
SWE9,0
